id,topic,question,answer,commands,source
12,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.",git branch feature-branch; git checkout feature-branch; git checkout -b feature-branch,https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git
13,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.",git reset --soft HEAD~1; git reset HEAD~1; git reset --hard HEAD~1,https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git
14,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status; git add conflicted-file.txt; git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
15,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,git revert <commit-hash>; git revert HEAD,https://stackoverflow.com/questions/1270514/undoing-a-git-push
16,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,git fetch origin; git pull origin main; git merge origin/main,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
17,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.",git branch feature-branch; git checkout feature-branch; git checkout -b feature-branch,https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git
18,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.",git reset --soft HEAD~1; git reset HEAD~1; git reset --hard HEAD~1,https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git
19,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status; git add conflicted-file.txt; git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
20,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,git revert <commit-hash>; git revert HEAD,https://stackoverflow.com/questions/1270514/undoing-a-git-push
21,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,git fetch origin; git pull origin main; git merge origin/main,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
22,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.",git branch feature-branch; git checkout feature-branch; git checkout -b feature-branch,https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git
23,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.",git reset --soft HEAD~1; git reset HEAD~1; git reset --hard HEAD~1,https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git
24,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status; git add conflicted-file.txt; git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
25,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,git revert <commit-hash>; git revert HEAD,https://stackoverflow.com/questions/1270514/undoing-a-git-push
26,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,git fetch origin; git pull origin main; git merge origin/main,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
27,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.",git branch feature-branch; git checkout feature-branch; git checkout -b feature-branch,https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git
28,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.",git reset --soft HEAD~1; git reset HEAD~1; git reset --hard HEAD~1,https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git
29,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status; git add conflicted-file.txt; git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
30,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,git revert <commit-hash>; git revert HEAD,https://stackoverflow.com/questions/1270514/undoing-a-git-push
31,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,git fetch origin; git pull origin main; git merge origin/main,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
32,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.",git branch feature-branch; git checkout feature-branch; git checkout -b feature-branch,https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git
33,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.",git reset --soft HEAD~1; git reset HEAD~1; git reset --hard HEAD~1,https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git
34,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status; git add conflicted-file.txt; git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
35,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,git revert <commit-hash>; git revert HEAD,https://stackoverflow.com/questions/1270514/undoing-a-git-push
36,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,git fetch origin; git pull origin main; git merge origin/main,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
37,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.",git branch feature-branch; git checkout feature-branch; git checkout -b feature-branch,https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git
38,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.",git reset --soft HEAD~1; git reset HEAD~1; git reset --hard HEAD~1,https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git
39,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status; git add conflicted-file.txt; git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
40,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,git revert <commit-hash>; git revert HEAD,https://stackoverflow.com/questions/1270514/undoing-a-git-push
41,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,git fetch origin; git pull origin main; git merge origin/main,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
42,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.",git branch feature-branch; git checkout feature-branch; git checkout -b feature-branch,https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git
43,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.",git reset --soft HEAD~1; git reset HEAD~1; git reset --hard HEAD~1,https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git
44,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status; git add conflicted-file.txt; git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
45,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,git revert <commit-hash>; git revert HEAD,https://stackoverflow.com/questions/1270514/undoing-a-git-push
46,Git,What is the difference between git pull and git fetch?,git fetch downloads changes from the remote repository but does not merge them into your current branch. git pull downloads changes and automatically merges them into your current branch. git pull = git fetch + git merge.,git fetch origin; git pull origin main; git merge origin/main,https://stackoverflow.com/questions/292357/what-is-the-difference-between-git-pull-and-git-fetch
47,Git,How do you create and switch to a new branch in Git?,"You can create a new branch using git branch <branch-name> and then switch to it using git checkout <branch-name>. Alternatively, you can do both in one command using git checkout -b <branch-name>.",git branch feature-branch; git checkout feature-branch; git checkout -b feature-branch,https://stackoverflow.com/questions/1394797/how-to-create-a-branch-in-git
48,Git,How do you undo the last commit in Git?,"To undo the last commit while keeping changes staged, use git reset --soft HEAD~1. To undo and unstage changes, use git reset HEAD~1. To completely remove the commit and changes, use git reset --hard HEAD~1.",git reset --soft HEAD~1; git reset HEAD~1; git reset --hard HEAD~1,https://stackoverflow.com/questions/927358/how-to-undo-the-most-recent-commits-in-git
49,Git,How do you resolve merge conflicts in Git?,"When a merge conflict occurs, Git marks the conflicted areas in the files. You need to manually edit the files to resolve conflicts, then add and commit the resolved files.","git status; git add conflicted-file.txt; git commit -m ""Resolve merge conflict""",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
50,Git,How do you revert a commit that has already been pushed?,Use git revert to create a new commit that undoes the changes from a previous commit. This is safer than git reset when the commit has been shared.,git revert <commit-hash>; git revert HEAD,https://stackoverflow.com/questions/1270514/undoing-a-git-push
51,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
52,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
53,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
54,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
55,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
56,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
57,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
58,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
59,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
60,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
61,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
62,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
63,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
64,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
65,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
66,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
67,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
68,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
69,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
70,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
71,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
72,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
73,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
74,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
75,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
76,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
77,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
78,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
79,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
80,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
81,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
82,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
83,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
84,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
85,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
86,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
87,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
88,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
89,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
90,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
91,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
92,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
93,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
94,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
95,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
96,Bash,How do you check if a file exists in a bash script?,Use the -f test operator within an if statement to check if a file exists and is a regular file.,"if [ -f ""/path/to/file"" ]; then;     echo ""File exists""; fi",https://stackoverflow.com/questions/638975/how-do-i-tell-if-a-regular-file-does-not-exist-in-bash
97,Bash,How do you iterate over files in a directory using bash?,Use a for loop with a wildcard pattern to iterate over files in a directory.,"for file in /path/to/directory/*; do;     echo ""Processing $file""; done",https://stackoverflow.com/questions/20796200/how-to-loop-over-files-in-directory-and-change-path-and-add-suffix-to-filename
98,Bash,How do you read user input in a bash script?,Use the read command to get user input and store it in a variable.,"read -p ""Enter your name: "" username; echo ""Hello $username""",https://stackoverflow.com/questions/1885525/how-do-i-prompt-a-user-for-confirmation-in-bash-script
99,Bash,How do you check if a variable is empty in bash?,"Use the -z test operator to check if a variable is empty, or -n to check if it is not empty.","if [ -z ""$variable"" ]; then;     echo ""Variable is empty""; fi",https://stackoverflow.com/questions/3601515/how-to-check-if-a-variable-is-set-in-bash
100,Bash,How do you define and call a function in bash?,"Define a function using function name() { commands; } or name() { commands; }, then call it by using just the function name.","function greet() {;     echo ""Hello $1""; }; greet ""World""",https://stackoverflow.com/questions/6212219/passing-parameters-to-a-bash-function
101,Tar/Gzip,How do you create a compressed tar archive?,"Use tar with the -czf flags to create a compressed gzip archive. -c creates archive, -z compresses with gzip, -f specifies filename.",tar -czf archive.tar.gz /path/to/directory/; tar -czf backup.tar.gz file1.txt file2.txt,https://stackoverflow.com/questions/18681595/tar-a-directory-but-dont-store-full-absolute-paths-in-the-archive
102,Tar/Gzip,How do you extract a tar.gz archive?,"Use tar with -xzf flags to extract a compressed archive. -x extracts, -z handles gzip compression, -f specifies filename.",tar -xzf archive.tar.gz; tar -xzf archive.tar.gz -C /destination/path/,https://stackoverflow.com/questions/8371925/how-to-extract-tar-file-to-a-specific-directory
103,Tar/Gzip,How do you list contents of a tar archive without extracting?,Use tar with -tzf flags to list the contents of a compressed archive without extracting it.,tar -tzf archive.tar.gz; tar -tvzf archive.tar.gz,https://stackoverflow.com/questions/1043674/how-to-see-the-contents-of-a-tar-file
